CNTER_NM,SEX_NM,시군구별(1),소계,정상,공복혈당장애,당뇨병,소계.1,정상.1,고혈압전단계,고혈압
강원특별자치도,남자,강원,4034,453,1460,2121,6748,555,2568,3625
강원특별자치도,여자,강원,1584,173,597,814,3512,409,1564,1539
강원특별자치도,합계,강원,5618,626,2057,2935,10260,964,4132,5164
경기도,남자,경기,33799,3953,11449,18397,59521,5090,20111,34320
경기도,여자,경기,11796,1272,4316,6208,24024,3057,8978,11989
경기도,합계,경기,45595,5225,15765,24605,83545,8147,29089,46309
경상남도,남자,경남,13290,2424,4884,5982,15930,942,6963,8025
경상남도,여자,경남,3539,776,1325,1438,4730,631,1989,2110
경상남도,합계,경남,16829,3200,6209,7420,20660,1573,8952,10135
경상북도,남자,경북,8646,1225,3174,4247,11955,689,4884,6382
경상북도,여자,경북,2777,484,1015,1278,4314,538,1800,1976
경상북도,합계,경북,11423,1709,4189,5525,16269,1227,6684,8358
광주광역시,남자,광주,19889,2685,6805,10399,23508,1684,9049,12775
광주광역시,여자,광주,6608,950,2395,3263,9381,1054,3679,4648
광주광역시,합계,광주,26497,3635,9200,13662,32889,2738,12728,17423
대구광역시,남자,경북,6405,852,2162,3391,9728,723,3750,5255
대구광역시,여자,경북,2259,323,796,1140,4356,528,1782,2046
대구광역시,합계,경북,8664,1175,2958,4531,14084,1251,5532,7301
대전광역시,남자,대전,1538,162,591,785,3516,161,1264,2091
대전광역시,여자,대전,479,49,192,238,1233,120,489,624
대전광역시,합계,대전,2017,211,783,1023,4749,281,1753,2715
부산광역시,남자,부산,10398,1265,3634,5499,12787,946,4822,7019
부산광역시,여자,부산,3623,458,1302,1863,5505,695,2125,2685
부산광역시,합계,부산,14021,1723,4936,7362,18292,1641,6947,9704
서울특별시,남자,서울,18786,1609,6578,10599,33314,2487,11688,19139
서울특별시,여자,서울,7369,746,2831,3792,16530,1954,6466,8110
서울특별시,합계,서울,26155,2355,9409,14391,49844,4441,18154,27249
울산광역시,남자,울산,1169,301,365,503,1013,93,407,513
울산광역시,여자,울산,242,54,78,110,215,26,83,106
울산광역시,합계,울산,1411,355,443,613,1228,119,490,619
인천광역시,남자,인천,5356,546,1767,3043,8222,597,2804,4821
인천광역시,여자,인천,1802,247,605,950,2951,333,1123,1495
인천광역시,합계,인천,7158,793,2372,3993,11173,930,3927,6316
전라남도,남자,전남,6464,917,2431,3116,5414,482,2321,2611
전라남도,여자,전남,2202,401,882,919,2560,434,1009,1117
전라남도,합계,전남,8666,1318,3313,4035,7974,916,3330,3728
전북특별자치도,남자,전북,4768,602,1648,2518,5771,468,2214,3089
전북특별자치도,여자,전북,1802,219,625,958,2711,354,1141,1216
전북특별자치도,합계,전북,6570,821,2273,3476,8482,822,3355,4305
제주특별자치도,남자,제주,1487,132,491,864,2064,77,539,1448
제주특별자치도,여자,제주,500,52,187,261,877,65,290,522
제주특별자치도,합계,제주,1987,184,678,1125,2941,142,829,1970
충청남도,남자,충남,6122,1112,2018,2992,11242,1193,4047,6002
충청남도,여자,충남,1855,312,652,891,3810,581,1502,1727
충청남도,합계,충남,7977,1424,2670,3883,15052,1774,5549,7729
충청북도,남자,충북,4720,683,1579,2458,9492,538,3628,5326
충청북도,여자,충북,1659,219,597,843,3313,356,1312,1645
충청북도,합계,충북,6379,902,2176,3301,12805,894,4940,6971
