날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2025-03-23(일)","돼지불고기(05)(10)","334.85kcal","왕교자만두찜(02)(05)(06)(08)(10)(15)(16)(18)","294kcal","닭순살야채조림(15)","247.37kcal","","","2828.77kcal"
"2025-03-23(일)","부추양파무침","6.74kcal","풋고추된장무침(05)(06)","30.57kcal","무생채","15.15kcal","","","2828.77kcal"
"2025-03-23(일)","배추김치","0kcal","토핑형발효유(02)(06)","165kcal","배추김치(수의계약)","15kcal","","","2828.77kcal"
"2025-03-23(일)","","","깍두기(완제품)","0kcal","","","","","2828.77kcal"
"2025-03-24(월)","밥","366.5kcal","찹쌀밥","386.5kcal","밥","366.5kcal","","","3072.88kcal"
"2025-03-25(월)","쇠고기육개장(05)(06)(16)","67.47kcal","김치찌개(05)(09)(10)","133.01kcal","감자국(05)(06)(16)","44.31kcal","","","3072.88kcal"
"2025-03-26(월)","애호박나물(05)(09)","43.78kcal","돼지삼겹야채볶음(10)","416.19kcal","닭순살치킨가스(01)(05)(06)(10)(12)(15)(16)","559kcal","","","3072.88kcal"
"2025-03-27(월)","김자반","88.4kcal","상추겉절이","12.81kcal","복숭아주스(11)","81kcal","","","3072.88kcal"
"2025-03-28(월)","계란말이(완)(01)(05)","55kcal","깍두기(수의)(09)","22.8kcal","참치샐러드","349.61kcal","","","3072.88kcal"
"2025-03-29(월)","백색우유(02)","65kcal","","","배추김치(수의계약)","15kcal","","","3072.88kcal"
"2025-03-30(월)","배추김치","0kcal","","","","","","","3072.88kcal"
"2025-03-25(화)","밥","366.5kcal","밥","366.5kcal","밥","366.5kcal","","","3139.95kcal"
"2025-03-25(화)","황태해장국(완)(05)","18.58kcal","계란국(01)(09)(16)","55.37kcal","부대찌개(02)(05)(06)(10)(15)(16)(18)","176.17kcal","","","3139.95kcal"
"2025-03-25(화)","돼지고기육전(01)(05)(06)(10)","138.63kcal","버섯잡채(05)(06)","114.09kcal","닭고기튀김양념(05)(06)(15)","900.49kcal","","","3139.95kcal"
"2025-03-25(화)","무나물","22.09kcal","낙지삼겹살새우볶음(05)(09)(10)(17)","519.46kcal","낙지젓무침(17)","33.57kcal","","","3139.95kcal"
"2025-03-25(화)","배추김치","0kcal","짜먹는발효유","0kcal","무&비트피클(완)","30kcal","","","3139.95kcal"
"2025-03-25(화)","","","배추김치(수의계약)","15kcal","대추방울토마토(12)","17kcal","","","3139.95kcal"
"2025-03-25(화)","","","","","배추김치","0kcal","","","3139.95kcal"
"2025-03-26(수)","참치오믈렛(01)","325kcal","밥","366.5kcal","밥","366.5kcal","","","2855.01kcal"
"2025-03-26(수)","밥","366.5kcal","쇠고기탕국(05)(06)(09)(16)","64.48kcal","두부된장찌개(05)(09)","113.66kcal","","","2855.01kcal"
"2025-03-26(수)","김치콩나물국(05)(06)(16)","25.38kcal","훈제오리볶음(01)(05)(06)(18)","507.52kcal","임연수어순살구이(05)","193.35kcal","","","2855.01kcal"
"2025-03-26(수)","달콤돼지고기볶음(10)","317.93kcal","부추겉절이","14.3kcal","오이무침(05)","22.09kcal","","","2855.01kcal"
"2025-03-26(수)","깍두기(완제품)","0kcal","무쌈","40kcal","이온음료","88.8kcal","","","2855.01kcal"
"2025-03-26(수)","","","배추김치","0kcal","김","28kcal","","","2855.01kcal"
"2025-03-26(수)","","","","","배추김치(수의계약)","15kcal","","","2855.01kcal"
"2025-03-27(목)","밥","366.5kcal","검은콩밥","387.15kcal","밥","366.5kcal","","","3370.80kcal"
"2025-03-27(목)","황태채국(01)(05)(06)(16)","78.72kcal","닭고기육개장(05)(06)(15)(16)","66.4kcal","짬뽕순두부(01)(05)(06)(09)(10)(17)(18)","163.26kcal","","","3370.80kcal"
"2025-03-27(목)","비엔나소시지케찹볶음(02)(05)(06)(10)(12)(16)(18)","379.15kcal","마파두부(05)(06)(10)(15)(18)","260.43kcal","돈가스(02)(05)(06)(10)(12)(16)(18)","688.39kcal","","","3370.80kcal"
"2025-03-27(목)","메추리알장조림(완)(01)(05)(06)","155kcal","느타리버섯볶음(05)","37.98kcal","사과(후지)","55.42kcal","","","3370.80kcal"
"2025-03-27(목)","짜먹는발효유","0kcal","두유","250kcal","오이피클","72.9kcal","","","3370.80kcal"
"2025-03-27(목)","김","28kcal","열무김치","0kcal","배추김치(수의계약)","15kcal","","","3370.80kcal"
"2025-03-27(목)","배추김치","0kcal","","","","","","","3370.80kcal"
"2025-03-28(금)","밥","366.5kcal","밥","366.5kcal","밥","366.5kcal","","","3464.81kcal"
"2025-03-28(금)","달래된장국(05)(06)","34.61kcal","우거지갈비탕(02)(05)(06)(10)(16)(18)","672.51kcal","꼬리곰탕(05)(06)(09)","401.06kcal","","","3464.81kcal"
"2025-03-28(금)","쇠고기감자조림(05)(16)","287.22kcal","감자채볶음(05)(10)","118.69kcal","돼지고기고추장볶음(05)(10)","382.59kcal","","","3464.81kcal"
"2025-03-28(금)","콩나물무침(05)","24.48kcal","어묵볶음(05)(06)","266.86kcal","계란찜(09)","3.89kcal","","","3464.81kcal"
"2025-03-28(금)","백색우유(02)","65kcal","마시는발효유(02)","70.6kcal","깍두기(수의)(09)","22.8kcal","","","3464.81kcal"
"2025-03-28(금)","열무김치","0kcal","배추김치(수의계약)","15kcal","","","","","3464.81kcal"
"2025-03-29(토)","불고기버거(01)(02)(05)(06)(10)(12)(16)","360.16kcal","밥","366.5kcal","쇠고기덮밥(05)(16)","561.94kcal","","","2783.53kcal"
"2025-03-29(토)","계란후라이(완제품)(01)(02)(06)(10)","102.5kcal","얼갈이된장국(05)(06)","32.25kcal","콩나물매운무침(05)","24.53kcal","","","2783.53kcal"
"2025-03-29(토)","백색우유(02)","65kcal","오삼불고기(05)(10)(17)","558.45kcal","가공우유(쿠키앤크림)(02)","185kcal","","","2783.53kcal"
"2025-03-29(토)","시리얼(2)(05)","258kcal","닭꼬치(완)(05)(15)","246.4kcal","열무김치","0kcal","","","2783.53kcal"
"2025-03-29(토)","","","짜먹는발효유","0kcal","","","","","2783.53kcal"
"2025-03-29(토)","","","깍두기(수의)(09)","22.8kcal","","","","","2783.53kcal"
