순서,영문속성명,컬럼한글명,데이터타입(DB),데이터크기,PK여부,NOT NULL여부,데이터 정보
1,STAT_YEAR,년도,VARCHAR2,4,Y,Y,시/도별 질환 통계 원시 데이터
2,PLACE_GROUP_NM,시군구별(1) (도/시),VARCHAR2,50,Y,Y,시/도별 질환 통계 원시 데이터
3,CNTER_NM,지역,VARCHAR2,200,Y,Y,시/도별 질환 통계 원시 데이터
4,SEX_NM,성별,VARCHAR2,20,Y,Y,시/도별 질환 통계 원시 데이터
5,DIAB_TOTAL_CO,당뇨병 소계,NUMBER,10,N,N,시/도별 질환 통계 원시 데이터
6,DIAB_NRML_CO,당뇨병 정상,NUMBER,10,N,N,시/도별 질환 통계 원시 데이터
7,DIAB_IFG_CO,당뇨병 공복혈당장애,NUMBER,10,N,N,시/도별 질환 통계 원시 데이터
8,DIAB_PATNT_CO,당뇨병 환자,NUMBER,10,N,N,시/도별 질환 통계 원시 데이터
9,HTN_TOTAL_CO,고혈압 소계,NUMBER,10,N,N,시/도별 질환 통계 원시 데이터
10,HTN_NRML_CO,고혈압 정상,NUMBER,10,N,N,시/도별 질환 통계 원시 데이터
11,HTN_PRE_CO,고혈압 전단계,NUMBER,10,N,N,시/도별 질환 통계 원시 데이터
12,HTN_PATNT_CO,고혈압 환자,NUMBER,10,N,N,시/도별 질환 통계 원시 데이터
