음식,열량
122kcal,
가공우유 딸기(02),116.0
가공우유 바나나,167.0
가공우유(딸기)(02),116.0
가공우유(딸기맛)(02),116.0
가공우유(딸기맛)(02)(05),82.5
가공우유(메론)(02),190.0
가공우유(바나나)(02),167.0
가공우유(바나나맛)(02),167.0
가공우유(초코)(02),126.0
가공우유(초코맛)(02),126.0
가스오부시어묵탕(05)(06),65.19
가야농장 제주감귤,44.0
가지굴소스볶음(05)(06),36.42
가지굴소스쇠고기볶음(05)(06)(16),88.79
가지무침(05)(06),20.83
가지볶음,119.89
가지볶음(05)(06),156.07
가지튀김,44.17
가지튀김(05)(06),273.92
가지튀김(06),112.1
가츠동덮밥(01)(02)(05)(06)(15)(16),792.88
가츠동덮밥(01)(05)(06)(10),779.29
간장계란밥(01),498.3
간장계란밥(01)(02)(05)(06),456.32
간장계란밥(01)(05)(06),516.12
간장깻잎지,0.0
간장불고기덮밥,933.0
간장불고기덮밥(16),654.0
간편식탕류(16),215.0
갈릭버터난(06)(12),171.0
갈비탕,485.02
갈비탕(05)(06)(16),583.33
갈비탕(완),200.0
갈아만든배,40.0
갈치순살튀김(06),346.3
감귤,57.564
감귤 주스(180㎖/병),180.0
감바스필라프(완),520.0
감바스필라프볶음밥,416.0
감자계란국(01),67.19
감자계란국(01)(05)(06),67.8
감자계란국(01)(05)(06)(09),96.08
감자매운조림(05)(06),57.43
감자밥,276.85
감자샐러드(01),73.07
감자수제비(01)(05)(06),166.85
감자수제비(01)(06),308.54
감자수제비(05)(06),224.74
감자수제비국(01)(05)(06),57.54
감자양파찌개(05)(06)(10),136.02
감자어묵조림(05)(06),82.79
감자옹심이국,29.4
감자전(완),390.0
감자전(완)(05),478.0
감자전(완)(05)(06),1.85
감자조림(05)(06),148.99
감자조림(05)(06)(18),124.11
감자조림(18),115.94
감자짜글이(05)(06),69.88
감자짜글이(05)(06)(10),116.7
감자짜글이(05)(06)(10)(13),287.99
감자짜글이(05)(06)(10)(13)(16),289.11
감자짜글이(05)(10),87.39
감자짜글이(05)(10)(13),152.79
감자채볶음,118.87
감자채볶음(16),93.56
감자케찹조림(05)(06)(12),59.35
감자탕(05)(06)(10),335.52
감자탕(05)(10),548.14
감자탕(김치)(05)(06)(10),394.09
감자튀김(05)(12),338.47
갑오징어물회(05)(06)(17)(18),169.74
갑오징어야채무침(05)(06)(17),122.59
갑오징어야채무침(05)(06)(17)(18),134.65
갑오징어야채무침(06)(17),133.72
갑오징어야채무침(17),89.17
갑오징어풋마늘무침M665:갑오징어풋마늘무침대(06),130.08
갓김치,11.52
갓김치(09),33.25
거봉포도,47.61
건빵(개선품)(01)(02)(03),249.0
건빵(야채맛),249.0
건빵(참깨맛),249.0
건새우아욱국(05),45.15
건새우아욱된장국,14.55
건새우아욱된장국(05),40.15
건새우아욱된장국(05)(06),52.97
건새우아욱된장국(05)(09),41.69
검은콩밥,274.13
검은콩밥(05),351.3
게맛살계란국(01)(05)(06),70.63
게맛살냉채,81.42
게맛살마요무침,64.29
게맛살마요무침(01),85.3
게맛살튀김(05)(06),265.36
견과류멸치볶음,186.65
견과류멸치볶음(05),136.07
계란국(01)(05),76.19
계란말이,72.64
계란말이(01),103.0
계란말이(01)(12),57.1
계란볶음밥,200.0
계란볶음밥(01)(05),527.17
계란볶음밥(05)(06)(10)(16),55.0
계란장조림(완제품),148.0
계란조랭이떡국(01)(05)(06)(09)(10)(16),349.01
계란찜(01),107.39
계란찜(01)(05),138.99
계란후라이(01),125.54
계란후라이(계약),88.2
계란후라이(계약)(01),113.34
계란후라이(완)(01)(05),165.0
계란후라이(완제품),88.2
고구마로제찜닭(05)(06)(15),289.42
고구마맛탕(05)(06),320.04
고구마맛탕(완제품)(05),460.0
고구마샐러드,144.61
고구마샐러드(01),197.48
고구마샐러드(완)(01)(02)(05),168.88
고구마샐러드CN19:게맛살과일샐러드대(01),156.45
고구마치즈스틱,1.01
고구마치즈스틱(01)(02)(05)(06),342.0
고구마치즈스틱(02)(05)(06),322.84
고구마튀김(05)(06),359.94
고구마튀김(06),334.14
고기산적,203.4
고기산적(02)(05)(06)(10)(16),340.0
고기산적(10),100.0
고기짜조(01)(05)(06)(10),257.3
고깃집된장찌개(05)(10),106.7
고깃집볶음밥(05)(09)(10),703.64
고깃집볶음밥(05)(10),590.04
고깃집볶음밥(10),636.48
고들빼기무침,0.0
고등어무조림,151.97
고등어무조림(05)(06),132.21
고등어순살강정(05)(06)(07)(12),273.95
고등어순살강정(05)(06)(12),273.95
고등어순살구이(07),110.2
고등어순살조림(05)(06)(07),179.4
고등어유자청구이(05)(06)(07),295.06
고등어카레구이(05)(06)(07),271.15
고등어필렛구이(02)(05)(06)(16),197.46
고로케1(05)(06)(12),263.9
고추바사삭치킨(01)(05)(06)(15),947.8
고추잡채&꽃빵(05)(06)(10),345.93
고추잡채&꽃빵(05)(06)(10)(18),347.28
고추잡채&꽃빵(05)(06)(18),226.15
