날짜,음식,식사유형
2021-04-27,코코아 음료 분말,조식
2021-04-28,밥,조식
2021-04-28,사골곰탕,조식
2021-04-28,감자조림,조식
2021-04-28,오이부추무침,조식
2021-04-28,가공우유 바나나,조식
2021-04-28,깍두기,조식
2021-04-28,가공우유,조식
2021-04-28,우유,조식
2021-04-29,햄치즈버거,조식
2021-04-29,우유,조식
2021-04-30,밥,조식
2021-04-30,꼬꼬떡국,조식
2021-04-30,깻잎무침,조식
2021-04-30,오징어젓무침,조식
2021-04-30,배추김치,조식
2021-04-30,우유,조식
2021-05-01,밥,조식
2021-05-01,쇠고기무국,조식
2021-05-01,오징어채볶음,조식
2021-05-01,맛김,조식
2021-05-01,배추김치,조식
2021-05-01,우유,조식
2021-05-02,밥,조식
2021-05-02,오징어국,조식
2021-05-02,감자채볶음,조식
2021-05-02,스크램블에그,조식
2021-05-02,과일1,조식
2021-05-02,배추김치,조식
2021-05-03,밥,조식
2021-05-03,조갯살미역국,조식
2021-05-03,비엔나소시지야채볶음,조식
2021-05-03,순두부양념장,조식
2021-05-03,배추김치,조식
2021-05-03,요구르트 아이스크림 떠먹는형,조식
2021-05-04,햄치즈버거,조식
2021-05-04,우유,조식
2021-05-05,떡만둣국,조식
2021-05-05,오징어채볶음,조식
2021-05-05,배추김치,조식
2021-05-05,우유,조식
2021-05-06,밥,조식
2021-05-06,쇠고기무국,조식
2021-05-06,돼지고기김치볶음,조식
2021-05-06,맛김,조식
2021-05-06,깍두기,조식
2021-05-06,우유,조식
2021-05-07,밥,조식
2021-05-07,쇠고기미역국,조식
2021-05-07,햄슬라이스야채볶음,조식
2021-05-07,맛김,조식
2021-05-07,깍두기,조식
2021-05-08,핫도그빵,조식
2021-05-08,우유,조식
2021-05-09,밥,조식
2021-05-09,쇠고기감자국,조식
2021-05-09,버섯호박볶음,조식
2021-05-09,계란찜,조식
2021-05-09,배추김치,조식
2021-05-09,우유,조식
2021-05-10,밥,조식
2021-05-10,꼬리곰탕,조식
2021-05-10,오이무침,조식
2021-05-10,깍두기,조식
2021-05-10,우유,조식
2021-05-11,밥,조식
2021-05-11,생선묵국,조식
2021-05-11,계란찜,조식
2021-05-11,맛김,조식
2021-05-11,깍두기,조식
2021-05-11,컵과일,조식
2021-05-12,닭죽,조식
2021-05-12,감자조림,조식
2021-05-12,깍두기,조식
2021-04-13,새우버거,조식
2021-04-13,우유,조식
2021-04-14,밥,조식
2021-04-14,김치찌개,조식
2021-04-14,감자채볶음,조식
2021-04-14,맛김,조식
2021-04-14,깍두기,조식
2021-04-15,밥,조식
2021-04-15,북어채국,조식
2021-04-15,돼지고기김치볶음,조식
2021-04-15,두부양념장,조식
2021-04-15,깍두기,조식
2021-04-15,우유,조식
2021-04-16,밥,조식
2021-04-16,감자양파찌개,조식
2021-04-16,비엔나소시지케찹볶음,조식
2021-04-16,맛김,조식
2021-04-16,배추김치,조식
2021-04-16,우유,조식
2021-04-17,핫도그빵,조식
2021-04-17,우유,조식
2021-04-18,밥,조식
2021-04-18,버섯쇠고기찌개,조식
2021-04-18,햄슬라이스야채볶음,조식
