음식,열량
"200오븐에구운 호두파이, 400g",80.0
"200오븐에구운 호두파이,400g(40g*10개)",500.0
2608.40kcal,
2687.80kcal,
2708.29kcal,
2743.99kcal,
2794.56kcal,
2905.50kcal,
2955.29kcal,
2999.62kcal,
3043.77kcal,
3085.07kcal,
3118.85kcal,
3125.45kcal,
3188.22kcal,
3191.27kcal,
3213.67kcal,
3274.56kcal,
3309.34kcal,
3364.61kcal,
3438.67kcal,
3449.66kcal,
3450.14kcal,
3459.71kcal,
3479.81kcal,
3512.98kcal,
3529.00kcal,
3582.56kcal,
3662.73kcal,
3830.96kcal,
3874.46kcal,
3958.41kcal,
가공우유(딸기맛)(02),94.7
가공우유(딸기맛)(02)(05),165.0
가공우유(메론)(02),190.0
가공우유(바나나맛)(02),82.5
가공우유(초코맛)(02),155.0
가공우유(커피맛)(02),185.0
가공우유(쿠키앤크림)(02),185.0
가리비미역국(02)(05)(06)(16)(18),31.17
가리비야채무침(05)(18),90.35
가자미구이(05),135.79
가자미구이(05)(06),177.44
가자미튀김(05)(06),686.17
가지볶음(05),52.41
가지볶음(05)(06),42.01
가츠동(01)(02)(05)(06)(10),633.73
가츠동(01)(05),691.73
가츠동(01)(05)(06)(10),498.68
간장돼지불고기(완제품)(05),308.67
간장돼지불고기(완제품)(05)(06)(10),348.87
갈낙탕(01)(02)(05)(06)(16)(17),409.88
갈배사이다,40.0
갈비산적(완제품)(05)(06)(10)(12)(15)(16),282.0
갈아만든배(음료),0.0
갈치순살튀김(01)(05),372.0
갈치순살튀김(01)(05)(06),636.25
갈치순살튀김(05),266.1
갈치순살튀김(05)(06)(15)(18),295.0
감귤,70.36
감귤주스,44.0
감바스(05)(09),541.88
감바스(09),88.86
감자고추장찌개(05)(06)(16),95.99
감자국(02)(05)(06)(15)(16)(18),52.01
감자국(02)(05)(06)(16),52.51
감자국(02)(05)(06)(16)(18),42.4
감자국(05)(06)(16),44.31
감자달걀국(01)(02)(05)(06)(09)(16),60.48
감자달걀국(01)(09)(16),66.32
감자말이새우튀김(05)(12),460.0
감자샐러드(완)(01)(02)(05)(06),144.0
감자샐러드(완)(01)(05)(06)(16),72.0
감자양파찌개(02)(05)(06)(10)(15)(16),114.78
감자양파찌개(02)(05)(06)(10)(15)(16)(18),145.62
감자양파찌개(02)(05)(06)(10)(16),150.28
감자어묵탕(02)(05)(06)(16),66.29
감자에그샐러드(완),315.0
감자채볶음(02)(05)(06)(10)(15)(16),83.93
감자채볶음(02)(05)(06)(10)(16)(18),96.28
감자채볶음(02)(05)(10)(15)(16),74.54
감자채볶음(05)(10),118.61
감자호박국(02)(05)(06)(15)(16)(18),41.78
감자호박국(02)(05)(06)(16),42.28
감자호박국(02)(05)(06)(16)(18),35.81
감자호박국(05)(06)(16),41.78
갑오징어야채볶음(05)(17),476.25
갑오징어튀김(05)(06)(17),614.6
갓김치1,0.0
검은콩밥,387.15
게살크래미주먹밥,400.0
게살크래미주먹밥(01)(02)(05)(06)(09)(12)(18),175.0
게토레이,7.0
계란국(01)(02)(05)(06)(09)(16),55.87
계란국(01)(09)(16),55.37
계란말이(완)(01)(02)(05)(06),156.08
계란말이(완)(01)(05),55.0
계란말이(완)(01)(05)(12),78.5
계란옷입은동태전(01)(05)(06),205.87
계란장조림,251.6
계란장조림(01)(05)(06)(16)(18),296.0
계란지단채(01)(05)(16),18.77
계란찜(09),3.89
계란후라이(완제품)(01),45.0
계란후라이(완제품)(01)(02)(05)(10),102.5
계란후라이(완제품)(01)(02)(06)(10),102.5
고구마샐러드(완)(01),189.99
고구마함박스테이크(01)(02)(05)(06)(10)(12)(16),281.0
고구마함박스테이크(05)(10),567.0
고구마함박스테이크(05)(10)(12),598.0
고구마함박스테이크(05)(12),166.0
고기만두찜,7.24
고기만두찜(05)(06)(10),181.25
고추순살치킨,0.0
고추잡채(05)(06)(10)(18),372.46
고추장돼지불고기(완제품),6.73
고추장돼지불고기(완제품)(02)(05)(06)(10)(15)(16)(18),375.73
고추장돼지불고기(완제품)(05),109.27
고추장돼지불고기(완제품)(05)(06)(10),416.67
고추장돼지불고기(완제품)(05)(10),482.33
구슬치즈샐러드(01)(02)(05),61.17
구슬치즈샐러드(02),56.17
구슬치즈샐러드(02)(05)(06)(12)(13)(16)(18),37.91
굴림만두(01)(02)(05)(06)(10)(16),528.0
굴림만두(01)(05)(06)(10)(16),528.0
굴순두부찌개(01)(05)(06)(09)(17)(18),110.33
궁중떡볶이(02)(05)(06)(10)(15)(16)(18),289.09
궁중떡볶이(02)(05)(06)(10)(16)(18),185.98
근대된장국(05)(06),34.25
근대무침(05)(06),22.47
김,28.0
김계란말이(01)(05)(06),101.08
김말이튀김(05),271.74
김말이튀김(05)(06),42.6
김밥튀김(01)(02)(05)(06)(10)(13)(16),273.0
김자반,88.4
김치덮밥(05)(06)(10),666.63
김치덮밥(05)(10),610.64
김치왕교자(06)(10),288.75
김치전(완)(05)(06)(09)(16)(17),108.0
김치전(완)(05)(06)(09)(16)(17)(18),45.0
김치찌개(05)(09)(10),80.21
김치콩나물국(05)(06)(16),25.38
깍두기(수의),0.0
깍두기(수의)(09),15.2
깍두기(완제품),0.0
깐쇼새우(05)(06)(09)(12),813.63
깐쇼새우(05)(06)(09)(12)(16),304.13
깻잎전(완)(01)(05)(06)(10),232.5
꼬들단무지,0.0
꼬들단무지(13),10.25
꼬리곰탕(05)(06)(09),401.06
꼬리곰탕(05)(06)(09)(16),321.56
꼬막비빔밥(18),390.02
꼬치어묵국,175.53
꼬치어묵국(05)(06),192.4
꽃게탕(05)(06)(08)(09)(17),91.21
꽃게탕(05)(06)(08)(17),95.68
꽈리고추멸치볶음(05),88.26
꽈리고추멸치볶음(05)(06),73.24
꿔바로우(05)(06)(10)(16)(18),364.03
나가사끼짬뽕(05)(06)(08)(10)(17)(18),112.81
나가사끼짬뽕(05)(06)(10)(17)(18),112.81
낙지삼겹살새우볶음(02)(05)(06)(09)(10)(16)(17)(18),591.81
낙지삼겹살새우볶음(05)(06)(09)(10)(17),516.36
낙지삼겹살새우볶음(05)(06)(09)(10)(17)(18),626.61
낙지삼겹살새우볶음(05)(09)(10)(17),519.46
낙지삼겹살새우볶음(05)(10)(17),407.46
낙지삼계탕(15)(17),560.95
낙지젓무침(17),44.57
남도떡갈비(01)(02)(05),437.0
남도떡갈비(01)(02)(05)(06)(10)(16),437.0
"냉동빵, 195에프앤비, 다크초코링찬도넛, 50g",
"냉동빵, 195에프앤비, 딸기찬도넛, 50g",
"냉동빵, 더브레드블루, 치키차카초코쌀낭시에(초코)(냉동), 60g",
"냉동빵, 푸드코아, 우유생크림빵, 105g",
냉이된장국(05)(06),38.95
냉채족발(02)(05)(06)(10)(16),407.0
너비아니꼬지치즈맛,462.0
너비아니꼬지치즈맛(02)(05)(06)(10)(15)(16),231.0
"농심,김치사발면,86g",500.0
"농심,신라면블랙사발,101g",445.0
"농심,오징어짬뽕큰사발,115g",
"농심,육개장사발면,86g",
뇨끼파스타(06)(10),127.97
뇨끼파스타(10),123.13
누들떡볶이(01)(05)(06),250.7
누룽지삼계탕(02)(05)(06)(15),909.0
느타리버섯볶음(05),37.98
느타리버섯볶음(05)(06),27.4
단호박샐러드(완),160.2
달래된장국(05)(06),34.61
달콤돼지고기볶음(10),317.93
닭가슴살(05)(15),198.0
닭가슴살(15),161.2
